ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
23,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,Eutechnyx
24,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch
25,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch
26,007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch
27,007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,
28,007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.13,Vicarious Visions
29,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,Treyarch
30,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55,
31,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,Black Ops Entertainment
32,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21,
33,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,ECI
34,1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0,0.01,
35,10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0,0.01,0.08,Anchor Bay Entertainment
36,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51,Ubisoft
37,100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0,0.02,0.66,Genius Sonority Inc.
38,100 Classic Games,DS,2011,Misc,Rondomedia,0,0.03,0,0,0.04,Easy Interactive
39,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0,0.02,0,0,0.03,
40,1001 Touch Games,DS,2011,Action,Avanquest,0.11,0.16,0,0.04,0.31,Avanquest Software
41,101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.12,0,0.02,0.19,Nordcurrent
42,101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.22,
43,101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08,Nordcurrent
44,101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0,0.03,Nordcurrent
45,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,
46,11eyes: CrossOver,X360,2009,Adventure,5pb,0,0,0.02,0,0.02,
47,11eyes: CrossOver,PSP,2010,Adventure,5pb,0,0,0.02,0,0.02,
48,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0,0.04,
49,12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0,0.07,
50,12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.05,0,0.05,
51,15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0,0.01,DTP Entertainment
52,1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,0.3,Related Designs
53,18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,Acclaim Studios Cheltenham
54,18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,Acclaim Studios Cheltenham
55,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0,0.02,0,0,0.02,
56,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0,0.01,0.11,ValuSoft
57,187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,Ubisoft
58,187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,Ubisoft Paris
59,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0,0.12,
60,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76,
61,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,
62,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01,0.31,
63,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,
64,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0,0.01,0.61,
65,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,0.04,0.02,0,0,0.06,
66,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,
67,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,
68,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0,0.01,0.12,
69,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,EA Sports
70,2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,Software Creations
71,2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05,EA Sports
72,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,EA Canada
73,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,Electronic Arts
74,2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,Electronic Arts
75,2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,Electronic Arts
76,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,EA Canada
77,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0,0.03,0.42,EA Canada
78,24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,SCE Studio Cambridge
79,25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,"Ritual Entertainment, Avalanche Software"
80,25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,"Ritual Entertainment, Avalanche Software"
81,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0,0.09,
82,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,
83,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0,0.07,0,0.01,0.07,
84,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,Collision Studios
85,3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0,0.03,
86,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,Silicon Studio
87,3D Lemmings,PS,1995,Puzzle,Psygnosis,0.03,0.02,0,0,0.06,
88,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01,0.1,
89,3DS Classic Collection,3DS,2016,Misc,Sega,0.03,0,0,0,0.03,
90,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,
91,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19,
92,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19,
93,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0,0,0.15,0,0.15,
94,3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9,
95,4 Elements,PC,2009,Puzzle,Mastertronic,0,0.04,0,0.01,0.05,Playrix Entertainment
96,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.1,0,0,0.01,0.11,
97,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0,1.45,
98,4 Play Collection - Dark Mysteries,PC,2014,Misc,Avanquest Software,0,0.01,0,0,0.02,
99,40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31,
100,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0,0.13,
101,428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,Spike,0,0,0.04,0,0.04,
102,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,0,0,0.02,0,0.02,
103,4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,Terminal Reality
104,4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14,Terminal Reality
105,4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,Terminal Reality
106,50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21,Swordfish Studios
107,50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,Swordfish Studios
108,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,Genuine Games
109,50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,Genuine Games
110,50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01,0.08,
111,50 Classic Games,DS,2009,Misc,Destineer,0.5,0,0,0.04,0.54,Cerasus Media
112,50 Classic Games,3DS,2012,Misc,Avanquest Software,0,0.01,0,0,0.01,
113,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,0,0,0.22,0,0.22,
114,7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,The Fun Pimps Entertainment LLC
115,7 Days to Die,XOne,2016,Action,Telltale Games,0.03,0.02,0,0,0.05,The Fun Pimps Entertainment LLC
116,7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,0,0.02,0,0,0.02,
117,7 Wonders II,DS,2009,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,MumboJumbo
118,7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,Hot Lava Games
119,7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,MumboJumbo
120,7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,0.01,0.02,0,0,0.03,
121,7'scarlet,PSV,2016,Adventure,Idea Factory,0,0,0.01,0,0.01,
122,7th Dragon,DS,2009,Role-Playing,Sega,0,0,0.14,0,0.14,
123,7th Dragon 2020,PSP,2011,Role-Playing,Sega,0,0,0.2,0,0.2,
124,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,0.13,0,0.13,
125,7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0,0.12,0,0.17,Sega
126,'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,
127,99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,
128,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.31,0,0.03,0.02,0.36,
129,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.18,0.01,0,0.01,0.21,WayForward
130,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79,
131,A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63,
132,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,
133,A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,
134,A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01,0.03,Cyanide
135,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,Kaga Create,0,0,0.03,0,0.03,
136,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06,
137,A New Beginning,PC,2010,Adventure,Deep Silver,0,0.05,0,0.01,0.06,
138,A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,0.03,0,0.03,
139,A Ressha de Ikou DS,DS,2009,Simulation,ArtDink,0,0,0.04,0,0.04,
140,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,Autumn Moon
141,A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,"Nippon Ichi Software, Hit Maker"
142,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,0.24,0.02,0.25,
143,A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0,0.26,
144,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,
145,A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0,0.26,
146,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0,0.12,
147,A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26,
148,¡Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0,0,0.14,0,0.14,
149,Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,
150,ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.18,0.49,0,0.1,0.77,Ubisoft
151,Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0,0.02,
152,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01,
153,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.24,0,0,0.02,0.27,Harmonix Music Systems
154,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,Harmonix Music Systems
155,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,Harmonix Music Systems
156,AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,Harmonix Music Systems
157,Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.09,0.02,0,0.01,0.12,Ubisoft Vancouver
158,Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,
159,Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,
160,Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,
161,Accel World: Kasoku no Chouten,PSP,2013,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,
162,Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0,0.27,
163,Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0,0.26,
164,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,Capcom
165,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,Namco
166,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,Namco
167,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,
168,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,Namco
169,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,Project Aces
170,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,Project Aces
171,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,Namco
172,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,Project Aces
173,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,Project Aces
174,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,Project Aces
175,Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,Project Aces
176,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02,Paradox Interactive
177,Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0,0.01,Eugen Systems
178,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,Vingt-et-un Systems
179,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,
180,Action Man-Operation Extreme,PS,N/A,Action,N/A,0.05,0.03,0,0.01,0.09,
181,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01,0.18,
182,Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.13,0,0,0.01,0.14,h.a.n.d. Inc.
183,Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.14,0.27,0,0.06,0.47,TOSE
184,Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.03,0.01,0,0,0.04,Bandai Namco Games
185,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,h.a.n.d. Inc.
186,Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,Contraband Entertainment
187,Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0,0.05,Aspyr
188,Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0,0,0,0.05,Digital Eclipse
189,Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13,
190,Adidas Power Soccer,PS,1996,Sports,Psygnosis,0.02,0.01,0,0,0.04,
191,Adidas Power Soccer 98,PS,1998,Sports,Psygnosis,0.01,0.01,0,0,0.02,
192,Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14,Konami
193,Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,Treasure
194,Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,Intelligent Systems
195,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01,0.65,Intelligent Systems
196,Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.43,0.12,0,0.05,0.61,Intelligent Systems
197,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,Intelligent Systems
198,Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0,0.13,GlyphX Games
199,Adventure,2600,N/A,Adventure,Atari,1.21,0.08,0,0.01,1.3,
200,Adventure Island,NES,1986,Platform,Hudson Soft,0,0,1.05,0,1.05,
201,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0,0.01,0.15,
202,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08,
203,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.01,0,0.01,0.05,
204,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,D3Publisher,0.02,0.01,0,0,0.04,
205,Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0,0.02,0.09,
206,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.05,0,0.01,0.09,
207,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,
208,Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,
209,Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,
210,Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,
211,Adventure Time: The Secret of the Nameless ,3DS,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,
212,Adventure Time: The Secret of the Nameless ,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01,
213,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08,WayForward
214,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.05,0,0,0.06,WayForward
215,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0,0,0,0.06,
216,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,
217,Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.11,0,0.01,0.02,0.13,
218,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02,"Neverland, Idea Factory"
219,Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.01,0.01,0,0.01,0.03,Acquire
220,Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,Acquire
221,Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0,0.02,Acquire
222,Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04,Terminal Reality
223,Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01,Terminal Reality
224,Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01,0.07,Sega AM2
225,Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0,0,0.07,
226,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0,0.19,
227,Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,Rhino Studios
228,Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02,0.24,"Namco Bandai Games America, Namco Bandai Games"
229,Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03,0.2,"Namco Bandai Games America, Namco Bandai Games"
230,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.02,0.12,
231,Again,DS,2009,Adventure,Ackkstudios,0.07,0,0,0,0.07,
232,Agarest Senki: Re-appearance,PS3,N/A,Role-Playing,Idea Factory,0,0,0.01,0,0.01,
233,Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0,0.01,0.09,Aqua Pacific
234,Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,AWE Games
235,Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02,Oberon Media
236,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,AWE Games
237,Agatha Christie: Peril at End House,PC,2009,Adventure,JoWood Productions,0,0.01,0,0,0.01,Oberon Media
238,Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0,0.01,0.1,Dreamcatcher
239,Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0,0.02,Artefacts Studio
240,Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03,Microids
241,Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.01,0,0,0,0.01,Microids
242,Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0,0.03,Funcom
243,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,Ensemble Studios
244,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,Ensemble Studios
245,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17,Microsoft Game Studios
246,Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.03,Ensemble Studios
